name,rating,position,ver,ps_price,skills,weak_foot,work_rate,pac,sho,pas,dri,def,phy,hei,popularity,base_stats,in_game_stats,wei,ps
Julio Buffarini,75,RB,Normal,2K,3,3,H  H,87,62,66,73,69,81,170,-6,438,2047,76,2000
Lucas Menossi,75,CDM,Normal,350,3,3,M  M,78,63,72,76,69,69,169,15,427,2083,70,350
Guido Carrillo,75,ST,Normal,0,3,3,M  M,54,75,54,71,39,75,191,2,368,1784,87,0
Robert Skov,75,RW,Normal,650,3,3,M  M,82,77,73,75,46,72,183,28,425,2019,76,650
Youssouf Sabaly,75,RB,Normal,450,3,4,H  M,74,38,64,75,73,69,173,0,393,1845,67,450
Wesley Hoedt,75,CB,Normal,0,2,3,M  H,54,46,59,57,75,74,188,0,365,1695,77,0
Lukas Lerager,75,CM,Normal,350,3,3,H  H,61,67,69,69,70,74,188,6,410,1940,85,350
Khama Billiat,75,RW,Normal,350,4,4,H  M,86,76,65,79,47,64,170,10,417,1977,60,350
Sebastian Cristoforo,75,CDM,Normal,700,3,3,M  M,57,58,67,69,72,69,175,4,392,1901,68,700
Ludovic Ajorque,75,ST,Normal,450,3,2,M  M,57,74,52,67,27,79,197,9,356,1669,82,450
Hamari Traore,75,RB,Normal,400,3,3,H  M,81,54,68,75,71,69,175,-3,418,1978,71,400
Ezequiel Ponce,75,ST,Normal,500,3,3,M  M,77,73,58,73,40,69,178,-14,390,1846,78,500
Gabriel Boschilia,75,CAM,Normal,2.6K,3,3,H  L,72,73,73,77,44,49,172,3,388,1891,63,2600
Alfredo Morelos,75,ST,Normal,400,3,4,H  M,80,70,62,72,41,81,177,5,406,1852,,400
Arber Zeneli,75,LM,Normal,350,4,3,M  M,85,70,69,80,35,59,176,16,398,1858,72,350
Aaron Long,75,CB,Normal,650,2,3,M  H,75,40,56,63,73,81,185,19,388,1776,86,650
Youssouf Kone,75,LB,Normal,450,3,3,H  M,84,47,64,74,71,72,174,23,412,1897,71,450
Marcos Guilherme,75,RM,Normal,2.9K,3,3,M  M,88,66,71,77,40,54,170,4,396,1858,58,2900
Ali Adnan,75,LB,Normal,500,4,4,H  H,77,68,70,74,72,80,185,47,441,2077,70,500
Timo Baumgartl,75,CB,Normal,450,2,3,M  M,70,34,55,51,76,75,190,14,361,1635,89,450
Vedat Muriqi,75,ST,Normal,350,3,3,M  M,60,74,53,66,27,77,194,49,357,1623,86,350
Jonathan Rodriguez,75,ST,Normal,650,3,3,H  M,85,74,62,73,37,76,179,6,407,1921,77,650
Andre Simões,75,CDM,Normal,350,3,3,M  H,77,68,71,74,74,72,177,8,436,2062,74,350
Ola Aina,75,LM,Normal,350,3,3,M  M,87,61,70,75,70,75,182,2,438,2021,82,350
Thiago Maia,75,CDM,Normal,850,3,3,M  M,69,57,68,70,73,74,179,-11,411,1945,79,850
Denis Bouanga,75,LM,Normal,400,4,4,M  M,78,73,70,76,30,67,180,9,394,1850,70,400
Kaku,75,CAM,Normal,650,4,3,H  M,82,66,72,77,48,62,171,-5,407,1902,68,650
Marcus Coco,75,RM,Normal,800,3,3,H  M,87,69,69,77,41,59,184,4,402,1854,78,800
Angelo Fulgini,75,RM,Normal,500,3,4,M  M,76,60,74,76,68,69,183,-6,423,1968,71,500
David Barbona,75,RM,Normal,700,3,4,H  M,83,65,74,72,38,66,184,-9,398,1850,81,700
Jacob Bruun Larsen,75,LM,Normal,2.5K,3,4,M  M,85,70,68,75,57,73,183,11,428,1972,75,2500
Marcus Thuram,75,LM,Normal,1K,3,3,H  L,83,73,67,76,47,75,192,33,421,1890,87,1000
Ezequiel avila,75,ST,Normal,650,3,4,H  H,78,76,63,74,43,75,172,11,409,1935,,650
Lucas Martinez Quarta,75,CB,Normal,650,3,3,M  M,72,53,66,68,73,74,183,8,406,1909,78,650
Yoshinori Muto,75,ST,Normal,450,3,4,H  H,77,72,68,78,41,62,178,6,398,1894,72,450
Karim Onisiwo,75,ST,Normal,400,3,3,H  M,78,70,67,75,53,76,188,-4,419,1924,85,400
João Novais,75,CM,Normal,650,4,3,M  M,66,76,76,77,49,67,183,1,411,2003,77,650
Mathias Jensen,75,CM,Normal,350,3,4,M  M,72,67,73,75,64,70,173,10,421,2016,68,350
Alexandru Ionut Mitrita,75,LW,Normal,350,3,5,H  M,85,69,68,78,26,55,171,20,381,1788,65,350
Kelvin Amian,75,RB,Normal,450,3,3,M  H,78,48,65,69,75,76,180,12,411,1920,78,450
Adam Ounas,75,LM,Normal,0,4,4,M  L,85,69,70,79,44,55,172,3,402,1904,65,0
Landry Dimata,75,ST,Normal,700,3,3,H  H,82,73,63,71,32,79,184,11,400,1850,83,700
Yann Karamoh,75,RM,Normal,500,4,4,H  M,79,69,69,78,31,62,185,14,388,1825,77,500
Gen Shoji,75,CB,Normal,1.6K,2,4,H  H,80,41,53,57,75,77,182,51,383,1732,74,1600
Remi Oudin,75,RM,Normal,7K,3,3,M  H,76,73,72,74,32,68,185,3,395,1896,79,7000
Miha Zajc,75,CAM,Normal,350,4,3,M  M,70,70,74,74,52,59,179,6,399,1948,76,350
Marcão,75,CB,Normal,450,2,2,M  H,59,32,51,56,75,74,185,6,347,1640,81,450
Florian Muller,75,GK,Normal,450,1,3,M  M,75,72,71,79,43,73,190,8,413,835,85,450
Christian Fassnacht,75,RM,Normal,450,3,3,H  M,82,70,68,74,33,69,185,-11,396,1862,77,450
Ghislain Konan,75,LB,Normal,450,3,3,H  M,81,48,68,77,70,73,176,21,417,1952,71,450
Christian Kouame,75,ST,Normal,750,3,4,H  M,84,71,61,75,40,70,185,16,401,1843,70,750
Alberth Elis,75,RM,Normal,350,4,4,H  M,90,71,63,77,30,72,180,4,403,1873,77,350
Marko Rog,75,CM,Normal,350,3,3,H  M,74,66,77,75,63,67,180,9,422,1958,73,350
Justin Kluivert,75,LW,Normal,350,4,4,H  M,88,72,66,79,37,59,171,26,401,1888,66,350
Samuel Kalu,75,RM,Normal,400,4,4,H  M,87,65,70,76,31,51,176,13,380,1830,74,400
Omar Kharbin,75,ST,Normal,350,3,3,H  L,80,75,58,71,36,68,185,15,388,1840,83,350
Rodrigo,75,RB,Normal,700,3,2,H  M,75,61,75,75,69,75,176,3,430,2069,71,700
Alfa Semedo Esteves,75,CDM,Normal,350,3,4,M  M,67,60,64,68,73,83,189,8,415,1915,82,350
Jovane Cabral,75,LW,Normal,350,4,4,H  M,86,68,69,80,35,65,176,-5,403,1916,68,350
Ivan Šunjic,75,CDM,Normal,350,2,3,M  H,70,57,60,64,77,79,184,7,407,1857,75,350
Vitaliy Buyalskyi,75,CM,Normal,350,3,4,H  H,71,67,70,76,67,49,170,5,400,1910,61,350
Leandre Tawamba,75,ST,Normal,350,3,3,M  L,75,74,49,70,24,77,189,11,369,1706,95,350
Rubens Sambueza,75,RM,Normal,700,4,3,H  M,65,71,78,76,47,77,174,-18,414,2005,72,700
Ola Kamara,75,ST,Normal,500,3,3,M  M,74,74,59,72,33,77,184,-5,389,1856,71,500
Luis Rodriguez,75,RB,Normal,550,3,2,M  M,85,61,70,74,71,74,177,0,435,2014,76,550
Nacer Chadli,75,LW,Normal,650,4,4,M  M,71,73,74,76,47,75,187,6,416,1998,85,650
Cristiano Biraghi,75,LB,Normal,550,3,3,M  M,76,55,68,71,74,70,185,3,414,1975,78,550
Nicolas Castillo,75,ST,Normal,350,3,3,H  H,68,75,60,69,38,82,179,-8,392,1906,81,350
Harry Wilson,75,RW,Normal,400,3,3,H  M,79,76,72,74,40,49,173,18,390,1889,70,400
Godfred Donsah,75,CM,Normal,350,3,3,M  M,74,63,74,78,69,77,176,-7,435,2093,80,350
Rick Karsdorp,75,RB,Normal,350,3,3,H  M,85,63,71,73,72,70,184,14,434,2026,80,350
Roger Assale,75,ST,Normal,650,3,3,H  M,91,73,68,81,29,51,167,21,393,1848,67,650
adam Nagy,75,CDM,Normal,350,3,5,M  H,70,54,76,79,72,61,178,25,412,1994,70,350
Dodi Lukebakio,75,ST,Normal,650,4,4,M  L,86,74,66,78,28,62,187,129,394,1835,77,650
Federico Ricca,75,LB,Normal,400,2,3,H  M,71,42,60,63,74,72,178,-2,382,1750,73,400
Guus Til,75,CAM,Normal,350,3,3,H  H,71,71,71,71,61,73,183,12,418,1984,74,350
Ryan Sessegnon,75,LM,Normal,650,4,3,H  M,87,67,68,75,64,62,178,46,423,1975,71,650
Luis Diaz,75,LM,Normal,650,4,4,H  M,92,68,65,77,32,67,180,13,401,1821,73,650
Rafael Leão,75,ST,Normal,650,4,4,H  L,87,72,64,75,27,71,188,123,396,1829,81,650
Jesper Hansen,75,GK,Normal,450,1,3,M  M,75,71,75,75,41,74,188,6,411,1041,78,450
Jakub Blaszczykowski,75,RM,Normal,350,3,4,H  H,72,70,75,77,60,67,175,59,421,2042,67,350
Lorenzo De Silvestri,75,RM,Normal,700,4,3,M  H,71,68,73,73,76,75,186,-1,436,2072,84,700
Adel Taarabt,75,CAM,Normal,350,4,4,M  L,67,68,71,82,37,61,185,52,386,1857,75,350
Lago Junior,75,LM,Normal,650,4,4,M  L,88,71,63,75,34,73,180,30,404,1812,79,650
Eddy Gnahore,75,CM,Normal,350,3,3,H  M,66,67,71,72,68,77,188,16,421,1957,88,350
Luis Hernandez,75,CB,Normal,600,2,4,M  H,67,49,65,65,75,74,183,-1,395,1895,75,600
Daniel Bessa,75,CAM,Normal,2.3K,4,4,M  L,63,69,74,78,55,50,178,1,389,1910,75,2300
alex Moreno,75,LB,Normal,550,3,3,H  M,81,63,68,75,68,55,179,11,410,1974,68,550
Zainadine,75,CB,Normal,350,2,3,M  H,69,41,56,62,75,76,178,10,379,1841,70,350
Lucas Olaza,75,LB,Normal,700,3,3,H  M,79,71,72,73,71,70,175,4,436,2096,68,700
Ainsley Maitland-Niles,75,RWB,Normal,500,4,3,M  M,85,59,70,76,68,67,177,64,425,1941,71,500
Borja Valle,75,ST,Normal,350,3,4,H  M,74,75,68,74,46,64,177,-6,401,1899,72,350
Falaye Sacko,75,RB,Normal,700,3,3,H  M,92,36,59,72,68,74,179,11,401,1843,64,700
Miguel Silva,75,GK,Normal,350,1,3,M  M,77,73,59,76,49,73,190,3,407,739,78,350
Junya Ito,75,RW,Normal,650,4,3,H  M,90,66,69,75,59,71,176,14,430,1944,68,650
Mason Mount,75,CAM,Normal,850,3,4,H  M,71,68,74,76,46,53,178,71,388,1864,64,850
Konstantinos Laifis,75,LB,Normal,350,2,3,M  H,66,63,72,67,76,74,186,-7,418,2001,77,350
Calvin Stengs,75,RW,Normal,900,4,3,M  M,77,62,73,79,34,58,187,10,383,1807,68,900
Mykyta Burda,75,CB,Normal,400,2,3,M  M,65,23,43,42,77,74,187,-24,324,1482,80,400
Claudio Pizarro,75,ST,Normal,400,4,4,M  L,34,77,73,75,37,64,184,100,360,1846,84,400
Allan McGregor,75,GK,Normal,350,1,3,M  M,74,72,66,79,36,74,183,11,401,987,74,350
Artur Boruc,75,GK,Normal,500,1,3,M  M,76,75,65,75,38,77,193,17,406,891,87,500
Jonatan Soriano,75,ST,Normal,0,4,3,M  L,58,78,73,77,32,66,180,-2,384,1930,72,0
Renaud Cohade,75,CM,Normal,400,3,3,M  H,50,59,76,72,69,71,181,11,397,1983,75,400
Wes Morgan,75,CB,Normal,500,2,2,M  H,29,34,41,55,76,72,186,56,307,1438,,500
Willy Caballero,75,GK,Normal,450,1,3,M  M,74,72,71,74,44,76,186,8,411,925,81,450
Jeremy Morel,75,CB,Normal,400,2,2,M  H,67,44,61,60,74,78,175,11,384,1850,78,400
Rafael,75,GK,Normal,450,1,3,M  M,76,71,63,76,38,76,187,2,400,800,80,450
Lukas Podolski,75,CAM,Normal,1.5K,4,3,M  L,70,79,74,75,46,77,182,44,421,2027,83,1500
Jose de Jesus Corona,75,GK,Normal,350,1,3,M  M,72,77,68,73,40,78,184,11,408,888,84,350
Jorge Valdivia,75,CAM,Normal,700,4,4,M  M,59,65,76,76,40,62,173,1,378,1842,71,700
Scott Dann,75,CB,Normal,550,2,3,L  M,32,40,48,49,76,65,188,10,310,1505,78,550
Salvador Sevilla Lopez,75,CM,Normal,400,3,3,M  M,46,70,80,71,48,60,178,4,375,1858,71,400
Alaixys Romao,75,CDM,Normal,350,3,3,M  H,53,55,65,70,75,79,180,1,397,1913,74,350
Faris Haroun,75,CDM,Normal,750,3,3,H  H,55,68,65,68,74,82,188,4,412,1980,75,750
Daniel Congre,75,CB,Normal,450,2,3,M  M,52,31,61,64,76,75,185,2,359,1659,80,450
Lior Refaelov,75,CAM,Normal,400,4,4,H  H,69,73,73,76,46,53,175,-16,390,1930,68,400
Cassio,75,GK,Normal,500,1,2,M  M,76,74,68,75,36,73,185,-6,402,884,83,500
Gonzalo Castro,75,CM,Normal,350,3,4,M  M,56,69,77,76,66,62,172,0,406,2021,72,350
Barragan,75,RB,Normal,500,3,3,H  M,70,52,67,69,73,74,183,13,405,1933,76,500
Darren Randolph,75,GK,Normal,600,1,3,M  M,76,72,67,76,42,73,188,26,406,869,78,600
Diego Buonanotte,75,CAM,Normal,800,4,4,M  L,84,67,72,78,30,39,161,-16,370,1816,57,800
Hugo Ayala,75,CB,Normal,400,2,2,L  H,57,55,60,58,76,72,183,-4,378,1787,81,400
Matias Fritzler,75,CDM,Normal,350,2,3,M  H,52,51,65,66,74,76,179,3,384,1855,73,350
Jonas Lössl,75,GK,Normal,1.8K,1,2,M  M,74,76,67,77,31,74,195,-3,399,809,88,1800
Andrew Surman,75,CM,Normal,450,3,4,L  M,52,65,75,70,66,66,178,-4,394,1937,73,450
Adrian Mariappa,75,CB,Normal,550,2,3,M  M,55,34,57,62,76,70,180,2,354,1682,79,550
Sven Kums,75,CM,Normal,450,3,4,M  H,58,66,76,74,70,68,175,-1,412,2050,73,450
Manuel da Costa,75,CB,Normal,750,2,3,M  H,55,45,51,52,75,80,191,-7,358,1650,84,750
Kiko Casilla,75,GK,Normal,350,1,2,M  M,74,76,72,74,45,73,190,-8,414,1016,86,350
Martin Harnik,75,ST,Normal,0,3,4,H  M,72,74,68,72,46,76,186,-8,408,1968,80,0
William Vainqueur,75,CDM,Normal,350,3,3,M  M,65,57,67,71,72,81,179,14,413,1927,73,350
Danny Vukovic,75,GK,Normal,350,1,2,M  M,74,70,63,77,51,78,188,-8,413,875,,350
Alexandru Epureanu,75,CB,Normal,400,2,2,L  M,44,53,55,56,77,75,189,2,360,1676,85,400
Andrea Ranocchia,75,CB,Normal,500,2,3,L  M,32,32,57,59,78,70,195,7,328,1558,81,500
Carlos Sanchez,75,CDM,Normal,450,3,3,M  M,60,58,70,68,74,73,182,-3,403,1902,82,450
Håvard Nordtveit,75,CB,Normal,450,2,3,M  M,49,53,71,66,75,75,188,8,389,1900,83,450
Fin Bartels,75,RM,Normal,550,4,3,H  M,73,70,73,79,44,48,176,-6,387,1872,69,550
Sten Michael Grytebust,75,GK,Normal,350,1,2,M  M,75,71,66,79,42,74,185,3,407,887,82,350
Konstantinos Mitroglou,75,ST,Normal,350,3,3,M  M,53,76,65,65,20,78,188,35,357,1731,86,350
Lamine Kone,75,CB,Normal,400,2,3,L  H,56,38,50,56,74,79,189,6,353,1616,,400
Christian Benteke,75,ST,Normal,450,2,3,M  L,58,74,61,65,32,72,190,-11,362,1750,83,450
Sebastien Dewaest,75,CB,Normal,650,2,2,M  H,51,41,46,40,75,81,188,10,334,1538,,650
Romain Thomas,75,CB,Normal,450,2,3,M  H,45,33,53,49,76,72,193,7,328,1587,84,450
Matteo Darmian,75,LB,Normal,0,3,5,L  H,69,58,66,74,77,67,182,-4,411,1958,70,0
Luis Montes,75,CM,Normal,350,3,3,H  H,64,69,74,77,58,67,166,-20,409,2004,68,350
Joe Allen,75,CM,Normal,350,3,3,H  H,67,65,72,76,73,73,168,20,426,2073,62,350
Ismaël Traore,75,CB,Normal,400,2,2,M  M,51,32,57,51,74,80,184,0,345,1680,,400
Rodolfo Cota,75,GK,Normal,350,1,2,M  M,75,70,67,78,58,79,183,12,427,972,86,350
Matt Ritchie,75,LWB,Normal,500,4,4,H  M,73,74,76,76,65,69,172,13,433,2097,76,500
Bernardo Espinosa,75,CB,Normal,450,2,3,M  H,45,44,59,51,73,76,192,3,348,1673,86,450
Jorge Hernandez,75,CDM,Normal,350,3,3,M  H,68,60,71,69,70,78,171,-8,416,2028,78,350
Matt Phillips,75,RM,Normal,650,4,4,M  M,82,70,71,75,43,70,183,2,411,1889,,650
James McCarthy,75,CDM,Normal,400,3,4,M  H,58,60,73,73,74,65,180,9,403,1968,72,400
Mubarak Wakaso,75,CM,Normal,1K,3,2,H  H,83,66,72,76,71,76,171,45,444,2098,,1000
Volkan Babacan,75,GK,Normal,350,1,2,M  M,75,74,68,75,54,77,192,11,423,948,86,350
Cristian alvarez,75,GK,Normal,400,1,3,M  M,75,73,71,78,47,76,186,7,420,884,83,400
Francesco Caputo,75,ST,Normal,650,3,4,H  L,84,76,58,72,29,67,181,46,386,1823,74,650
Yannick Bolasie,75,LM,Normal,0,5,4,M  L,81,69,69,79,34,75,188,6,407,1897,84,0
João Aurelio,75,RB,Normal,500,3,3,H  M,62,62,72,73,75,75,182,7,419,2023,74,500
Junior Stanislas,75,LM,Normal,450,3,3,H  M,75,70,73,75,36,55,183,17,384,1811,76,450
Aleksandar Prijovic,75,ST,Normal,350,3,3,H  L,70,73,55,69,35,79,191,9,381,1777,88,350
Quique,75,ST,Normal,400,3,3,H  M,74,75,65,73,43,66,175,5,396,1918,67,400
Yannis Salibur,75,RM,Normal,500,4,4,H  M,87,73,70,76,40,64,177,9,410,1945,76,500
Mert Gunok,75,GK,Normal,350,1,2,M  M,73,72,79,75,56,76,196,5,431,969,92,350
Damien Le Tallec,75,CDM,Normal,350,2,4,M  H,67,62,66,70,76,75,187,7,416,1955,80,350
Luigi Sepe,75,GK,Normal,350,1,2,M  M,74,76,61,79,48,73,185,1,411,875,75,350
Didac Vilà,75,LB,Normal,500,3,3,H  M,71,51,68,72,73,75,185,3,410,1919,74,500
Mats Rits,75,CM,Normal,350,3,5,M  H,67,63,73,70,71,74,178,-9,418,1994,72,350
Maya Yoshida,75,CB,Normal,1.3K,2,4,M  H,55,41,51,63,76,72,189,15,358,1721,78,1300
Valon Berisha,75,LM,Normal,1.1K,4,4,H  M,79,70,71,77,57,77,176,20,431,2052,70,1100
Paul Lasne,75,CM,Normal,350,3,3,H  M,65,72,73,73,72,75,186,-3,430,2051,77,350
Javier Aquino,75,LM,Normal,500,4,4,H  M,88,66,70,79,40,51,168,4,394,1903,62,500
Artur Ionita,75,CM,Normal,350,3,4,M  H,64,68,72,70,75,78,184,-1,427,2070,73,350
Gaëtan Charbonnier,75,ST,Normal,400,3,3,H  M,46,74,63,74,35,72,188,3,364,1767,80,400
Emanuele Giaccherini,75,CAM,Normal,550,4,4,H  M,68,69,73,80,61,61,167,-20,412,2040,60,550
Neil Etheridge,75,GK,Normal,350,1,3,M  M,77,67,61,77,52,76,191,18,410,943,,350
Martin Braithwaite,75,ST,Normal,350,4,4,M  H,75,74,69,76,35,75,177,78,404,1955,73,350
Hanno Behrens,75,CM,Normal,400,3,2,H  H,67,71,65,70,75,81,188,5,429,2036,82,400
Xavier Chavalerin,75,CDM,Normal,350,3,3,M  M,67,62,72,71,68,72,179,-6,412,1955,69,350
Alper Potuk,75,CAM,Normal,350,3,4,H  M,79,65,71,77,52,70,177,-1,414,1958,67,350
Rafal Gikiewicz,75,GK,Normal,350,1,2,M  M,76,73,75,78,28,74,190,16,404,805,81,350
Yuto Nagatomo,75,LB,Normal,500,3,5,H  H,81,49,66,70,72,65,170,14,403,1920,68,500
Tiago Pinto,75,LB,Normal,400,3,2,H  H,82,60,70,76,70,70,177,1,428,2047,70,400
Florian Kainz,75,LM,Normal,400,4,5,M  M,80,70,70,79,37,57,176,6,393,1850,71,400
Javi Lopez,75,RB,Normal,500,3,3,M  M,66,53,70,71,71,72,180,4,403,1942,76,500
Charlie Austin,75,ST,Normal,350,2,2,M  L,52,77,57,68,37,69,188,-19,360,1794,84,350
Jose Pedro Fuenzalida,75,RW,Normal,650,3,4,H  H,90,63,71,79,64,64,170,14,431,2037,67,650
Giannelli Imbula,75,CM,Normal,0,4,2,M  L,68,60,71,78,60,75,186,8,412,1898,77,0
Ximo Navarro,75,CB,Normal,650,2,3,M  M,75,47,66,68,74,77,176,25,407,1924,75,650
Franco Jara,75,ST,Normal,350,3,3,M  M,77,75,67,74,30,67,180,-11,390,1861,77,350
Dominick Drexler,75,CAM,Normal,350,3,3,H  H,75,63,72,77,40,57,182,8,384,1824,71,350
Zakaria Labyad,75,CAM,Normal,400,4,5,M  L,73,74,74,78,36,57,175,3,392,1904,65,400
Danilo D'Ambrosio,75,RB,Normal,600,3,3,M  M,68,55,65,71,78,70,180,-5,407,1977,75,600
Sergio alvarez,75,CDM,Normal,400,3,3,M  M,64,66,68,69,70,78,183,-1,415,1970,74,400
Matthew Lowton,75,RB,Normal,650,2,3,H  H,67,61,73,72,75,74,181,6,422,2027,78,650
Emre Çolak,75,CAM,Normal,0,4,3,M  M,67,69,76,77,43,49,169,4,381,1897,67,0
Nicolas Blandi,75,ST,Normal,500,3,4,H  M,61,76,59,70,38,67,181,3,371,1839,76,500
Guilherme,75,RM,Normal,850,4,3,H  L,91,66,69,77,51,65,174,2,419,1978,,850
Jeff Hendrick,75,RM,Normal,400,3,3,M  H,68,68,74,75,70,75,183,1,430,2074,84,400
Lukasz Teodorczyk,75,ST,Normal,350,3,2,H  M,63,74,60,66,33,77,188,-9,373,1779,86,350
Recio,75,CM,Normal,400,3,3,M  M,40,67,73,71,72,71,183,8,394,1948,74,400
Gabriel,75,GK,Normal,450,1,2,M  M,77,73,68,79,36,73,193,3,406,876,90,450
Alfred Gomis,75,GK,Normal,400,1,3,M  M,77,74,70,75,42,75,194,5,413,925,80,400
Jonathan Schmid,75,RB,Normal,500,3,3,H  L,76,64,74,75,69,75,179,6,433,2090,80,500
Konstantinos Stafylidis,75,LWB,Normal,500,3,3,M  M,75,64,68,73,72,74,178,11,426,2030,72,500
Stuart Armstrong,75,CAM,Normal,400,3,4,H  H,75,73,72,74,64,72,183,18,430,2027,75,400
Abdoulay Diaby,75,RW,Normal,0,3,2,H  M,93,71,67,75,38,63,172,-2,407,1955,71,0
Fabricio,75,ST,Normal,350,4,2,H  M,67,76,66,76,36,77,183,37,398,1948,78,350
Rodrigo Ely,75,CB,Normal,450,2,2,M  H,58,32,43,53,75,76,188,3,337,1498,83,450
Emiliano Martinez,75,GK,Normal,450,1,3,M  M,75,74,76,76,58,73,193,4,432,1058,85,450
Fabian Castillo,75,LM,Normal,650,4,4,M  L,91,70,64,81,44,66,174,13,416,1935,74,650
Diego Chara,75,CDM,Normal,350,3,4,H  H,80,60,66,71,72,78,172,22,427,2009,68,350
Koffi Djidji,75,CB,Normal,450,2,3,L  H,65,32,55,66,75,71,184,9,364,1685,81,450
Paul Dummett,75,CB,Normal,500,2,2,M  M,66,40,63,67,76,72,183,14,384,1825,82,500
Bouna Sarr,75,RB,Normal,450,3,3,H  M,82,66,69,74,71,71,177,2,433,2017,65,450
Paulo Gazzaniga,75,GK,Normal,700,1,3,M  M,76,74,84,78,64,75,196,44,451,1053,90,700
Nathaniel Chalobah,75,CDM,Normal,400,3,3,M  M,64,61,70,74,72,71,185,12,412,1930,76,400
Silviu Lung,75,GK,Normal,350,1,3,M  M,74,71,69,76,37,75,189,1,402,935,84,350
Jetro Willems,75,LWB,Normal,500,3,4,H  L,74,62,76,76,71,76,177,16,435,2062,82,500
Sam Johnstone,75,GK,Normal,400,1,3,M  M,79,74,70,77,42,73,193,5,415,895,85,400
Luciano Aued,75,CM,Normal,650,3,3,M  M,57,68,73,72,67,77,182,17,414,1992,81,650
Solly March,75,LM,Normal,450,3,2,H  H,77,68,72,77,50,60,180,24,404,1871,77,450
Kenneth Omeruo,75,CB,Normal,400,2,3,L  M,70,32,50,58,73,78,185,10,361,1652,81,400
Leandro Fernandez,75,ST,Normal,500,3,4,H  M,81,75,65,73,36,72,178,7,402,1902,70,500
Clinton Mata,75,RB,Normal,350,4,3,H  H,84,61,69,76,71,78,180,15,439,2080,73,350
Robin Quaison,75,CF,Normal,400,3,3,M  M,77,73,69,78,51,70,183,15,418,1952,77,400
oscar Plano,75,RM,Normal,400,3,4,H  H,81,70,74,76,54,69,182,-3,424,2008,72,400
Stefan Mitrovic,75,CB,Normal,400,2,5,L  M,39,34,49,55,77,77,189,5,331,1569,84,400
Jose Juan Vazquez,75,CDM,Normal,600,2,3,M  H,74,53,68,67,74,70,166,1,406,1962,64,600
Siebe Schrijvers,75,CF,Normal,350,3,4,H  H,74,75,72,77,48,70,180,-12,416,2022,67,350
Joshua Brenet,75,LWB,Normal,1.3K,3,3,H  M,87,36,62,72,71,69,181,36,397,1782,74,1300
Andre Ramalho,75,CB,Normal,400,2,5,M  M,47,60,66,66,75,74,182,3,388,1917,78,400
Abdoulaye Toure,75,CDM,Normal,450,3,3,M  H,47,56,61,62,74,80,188,3,380,1737,84,450
Darwin Machis,75,LM,Normal,400,4,4,H  M,88,74,68,78,38,67,174,19,413,1949,,400
Louis Schaub,75,CAM,Normal,2.8K,3,3,H  M,74,66,71,81,38,66,177,9,396,1873,70,2800
Luca Zuffi,75,CAM,Normal,350,3,4,M  H,66,73,80,72,71,71,180,-9,433,2091,70,350
Marc-Oliver Kempf,75,CB,Normal,450,2,3,M  M,67,38,54,60,75,77,186,6,371,1724,87,450
John McGinn,75,CM,Normal,400,3,4,H  H,73,66,71,75,70,78,178,54,433,2056,68,400
Carles Gil,75,CAM,Normal,350,4,4,H  L,65,68,75,76,39,55,170,16,378,1846,65,350
Lisandro Magallan,75,CB,Normal,0,2,3,L  M,56,38,52,59,75,79,185,-2,359,1653,83,0
Moussa Konate,75,ST,Normal,650,3,4,H  M,83,71,55,73,23,66,183,-6,371,1753,78,650
Danilo Cataldi,75,CM,Normal,350,3,3,M  M,68,69,75,73,68,65,180,4,418,2017,70,350
Marc Schnatterer,75,RM,Normal,700,3,4,H  M,70,78,77,73,35,61,180,15,394,1928,75,700
Neal Maupay,75,ST,Normal,450,3,3,M  M,75,73,66,72,41,69,171,15,396,1890,69,450
Kevin Möhwald,75,CM,Normal,400,3,2,M  M,59,70,76,74,61,67,183,-3,407,1963,77,400
Kevin Akpoguma,75,CB,Normal,650,2,4,M  M,73,48,54,60,76,71,192,32,382,1709,85,650
Janik Haberer,75,CM,Normal,350,3,3,M  M,65,63,71,75,61,70,186,11,405,1925,78,350
Nicolae Stanciu,75,CAM,Normal,350,3,4,M  M,69,72,75,78,34,62,170,12,390,1911,63,350
Medran,75,CM,Normal,0,3,4,M  M,60,68,77,72,63,54,176,-2,394,1942,71,0
Wesley Saïd,75,ST,Normal,450,3,3,M  L,77,74,68,78,29,55,171,1,381,1803,75,450
Hernâni,75,RM,Normal,650,5,2,M  L,92,68,68,80,29,56,178,16,393,1857,69,650
William Troost-Ekong,75,CB,Normal,450,2,3,L  M,65,32,45,45,76,77,191,-7,340,1557,82,450
Diego Valdes,75,CAM,Normal,350,4,3,H  H,79,68,72,74,52,70,178,-3,415,1961,75,350
Ryan Christie,75,CAM,Normal,350,3,4,H  H,77,70,70,76,63,77,178,-4,433,2030,71,350
Daniel Torres,75,CDM,Normal,800,3,3,M  H,53,61,68,69,72,79,183,-7,402,1951,81,800
Postigo,75,CB,Normal,550,2,3,L  M,57,43,54,58,76,76,185,6,364,1670,,550
Bruno Bianchi,75,CB,Normal,550,2,3,L  M,57,35,55,60,76,75,183,-2,358,1625,76,550
Julio Furch,75,ST,Normal,350,3,3,M  L,56,75,61,66,39,79,187,14,376,1801,88,350
Hector Villalba,75,RM,Normal,3.7K,4,4,H  M,92,74,64,79,45,63,172,53,417,1953,75,3700
